1011GW	101751893	Amsterdam		locality	21
1011PT	101751893	Amsterdam		locality	21
1011VS	101751893	Amsterdam		locality	21
1011CA	101751893	Amsterdam		locality	20
1011CC	101751893	Amsterdam		locality	20
1011HV	101751893	Amsterdam		locality	20
1011KR	101751893	Amsterdam		locality	20
1011LC	101751893	Amsterdam		locality	20
1011LL	101751893	Amsterdam		locality	20
1011NB	101751893	Amsterdam		locality	20
1011RN	101751893	Amsterdam		locality	20
1011SR	101751893	Amsterdam		locality	20
1011AH	101751893	Amsterdam		locality	19
1011BG	101751893	Amsterdam		locality	19
1011BV	101751893	Amsterdam		locality	19
1011CB	101751893	Amsterdam		locality	19
1011DJ	101751893	Amsterdam		locality	19
1011GJ	101751893	Amsterdam		locality	19
1011GM	101751893	Amsterdam		locality	19
1011HL	101751893	Amsterdam		locality	19
1011JN	101751893	Amsterdam		locality	19
1011RG	101751893	Amsterdam		locality	19
1011TR	101751893	Amsterdam		locality	19
1011CD	101751893	Amsterdam		locality	18
1011CR	101751893	Amsterdam		locality	18
1011CV	101751893	Amsterdam		locality	18
1011CX	101751893	Amsterdam		locality	18
1011CZ	101751893	Amsterdam		locality	18
1011DZ	101751893	Amsterdam		locality	18
1011GX	101751893	Amsterdam		locality	18
1011HE	101751893	Amsterdam		locality	18
1011KN	101751893	Amsterdam		locality	18
1011LH	101751893	Amsterdam		locality	18
1011MR	101751893	Amsterdam		locality	18
1011MT	101751893	Amsterdam		locality	18
1011SZ	101751893	Amsterdam		locality	18
1011TL	101751893	Amsterdam		locality	18
1011AX	101751893	Amsterdam		locality	17
1011CJ	101751893	Amsterdam		locality	17
1011GG	101751893	Amsterdam		locality	17
1011HP	101751893	Amsterdam		locality	17
1011LV	101751893	Amsterdam		locality	17
1011RE	101751893	Amsterdam		locality	17
1011SP	101751893	Amsterdam		locality	17
1011ST	101751893	Amsterdam		locality	17
1011SV	101751893	Amsterdam		locality	17
1011SW	101751893	Amsterdam		locality	17
1011SX	101751893	Amsterdam		locality	17
1011AP	101751893	Amsterdam		locality	16
1011AT	101751893	Amsterdam		locality	16
1011CT	101751893	Amsterdam		locality	16
1011EE	101751893	Amsterdam		locality	16
1011EM	101751893	Amsterdam		locality	16
1011HK	101751893	Amsterdam		locality	16
1011LP	101751893	Amsterdam		locality	16
1011LR	101751893	Amsterdam		locality	16
1011TN	101751893	Amsterdam		locality	16
1011AJ	101751893	Amsterdam		locality	15
1011AV	101751893	Amsterdam		locality	15
1011CK	101751893	Amsterdam		locality	15
1011GV	101751893	Amsterdam		locality	15
1011JP	101751893	Amsterdam		locality	15
1011JZ	101751893	Amsterdam		locality	15
1011KE	101751893	Amsterdam		locality	15
1011LJ	101751893	Amsterdam		locality	15
1011LT	101751893	Amsterdam		locality	15
1011RA	101751893	Amsterdam		locality	15
1011RK	101751893	Amsterdam		locality	15
